pair,speaker,crit_half,crit_order_bin,condition,prop_size_adj_use,num_trials,num_NA
20,39,firsthalf,2,Two Contrasts Shared,1,8,0
20,39,secondhalf,3,No Contrast,0,4,0
20,39,secondhalf,3,One Contrast Privileged,1,4,0
20,39,secondhalf,3,Two Contrasts Shared,1,8,0
20,39,secondhalf,4,No Contrast,0,5,0
20,39,secondhalf,4,One Contrast Privileged,1,5,0
20,39,secondhalf,4,Two Contrasts Shared,0.8888888888888888,9,0
20,40,firsthalf,1,No Contrast,0,3,0
20,40,firsthalf,1,One Contrast Privileged,0.3333333333333333,3,0
20,40,firsthalf,1,Two Contrasts Shared,1,7,0
20,40,firsthalf,2,No Contrast,0,4,0
20,40,firsthalf,2,One Contrast Privileged,0,4,0
20,40,firsthalf,2,Two Contrasts Shared,0.875,8,0
20,40,secondhalf,3,No Contrast,0,4,0
20,40,secondhalf,3,One Contrast Privileged,0,4,0
20,40,secondhalf,3,Two Contrasts Shared,1,8,0
20,40,secondhalf,4,No Contrast,0.2,5,0
20,40,secondhalf,4,One Contrast Privileged,0,5,0
20,40,secondhalf,4,Two Contrasts Shared,1,9,0
21,41,firsthalf,1,No Contrast,0,3,0
21,41,firsthalf,1,One Contrast Privileged,0.6666666666666666,3,0
21,41,firsthalf,1,Two Contrasts Shared,1,7,0
21,41,firsthalf,2,No Contrast,0,4,0
21,41,firsthalf,2,One Contrast Privileged,0.5,4,0
21,41,firsthalf,2,Two Contrasts Shared,1,8,0
21,41,secondhalf,3,No Contrast,0,4,0
21,41,secondhalf,3,One Contrast Privileged,0,4,0
21,41,secondhalf,3,Two Contrasts Shared,1,8,0
21,41,secondhalf,4,No Contrast,0,5,0
21,41,secondhalf,4,One Contrast Privileged,0.6,5,0
21,41,secondhalf,4,Two Contrasts Shared,1,9,0
21,42,firsthalf,1,No Contrast,0.3333333333333333,3,0
21,42,firsthalf,1,One Contrast Privileged,1,3,0
21,42,firsthalf,1,Two Contrasts Shared,1,7,0
21,42,firsthalf,2,No Contrast,0,4,0
21,42,firsthalf,2,One Contrast Privileged,0,4,0
21,42,firsthalf,2,Two Contrasts Shared,1,8,0
21,42,secondhalf,3,No Contrast,0,4,0
